%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1509030516008896512,23682,1509030516008704447,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.165115987585,-0.0245010820287,-0.438888947645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43461669922,-0.55564453125,9.33339111328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1509030516022786732,23683,1509030516022602414,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18535601187,-0.0394147841332,-0.422909981105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.27415039063,-0.673000488281,9.31662597656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1509030516027135658,23684,1509030516026888925,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21731394495,-0.0245010820287,-0.430366832157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.149609375,-0.778381347656,9.30704589844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1509030516038556208,23685,1509030516038391417,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.207726565026,-0.00639158661619,-0.450606856441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08015380859,-0.850231933594,9.34297119141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1509030516050083064,23686,1509030516049870399,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.182160218561,0.0362189908251,-0.448476327569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03225341797,-0.905317382813,9.36692138672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1509030516058035717,23687,1509030516057733118,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.161920194277,0.0745685105222,-0.426105774413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02506835938,-0.914897460938,9.37171142578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1509030516067734491,23688,1509030516067416768,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.136353847812,0.108656972475,-0.417583658924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07536376953,-0.898132324219,9.33578613281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1509030516077222285,23689,1509030516076960624,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.117179087963,0.133158054504,-0.415453130052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.13523925781,-0.929267578125,9.22801025391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1509030516087929610,23690,1509030516087688531,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.136353847812,0.12889699676,-0.401604692384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.13763427734,-0.967587890625,9.10825927734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1509030516097654834,23691,1509030516097403901,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.178964425253,0.0852211548825,-0.400539427948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15679443359,-0.962797851563,9.01724853516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
